Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-ECR1","OpenClawAgentCore/BridgeRepo/Resource","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-S1","OpenClawAgentCore/WorkspaceBucket/Resource","Suppressed","Workspace bucket stores agent workspace files (markdown). Access logging not required for non-sensitive operational data.","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","OpenClawAgentCore/WorkspaceBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","OpenClawAgentCore/WorkspaceBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","OpenClawAgentCore/WorkspaceBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","OpenClawAgentCore/WorkspaceBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-EC23","OpenClawAgentCore/AgentRuntimeSecurityGroup/Resource","Suppressed","Ingress uses VPC CIDR; not open to 0.0.0.0/0.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","OpenClawAgentCore/AgentRuntimeSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","OpenClawAgentCore/OpenClawExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:*::foundation-model/*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:ap-southeast-2:657117630614:inference-profile/*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:secretsmanager:ap-southeast-2:657117630614:secret:openclaw/*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::kms:GenerateDataKey*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::kms:ReEncrypt*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:Abort*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:DeleteObject*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetBucket*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetObject*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:List*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::<WorkspaceBucket53E30B92.Arn>/*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:cognito-idp:ap-southeast-2:657117630614:userpool/*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","OpenClawAgentCore/MemoryExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawAgentCore/MemoryExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/MemoryExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:ap-southeast-2::foundation-model/*] Memory execution role needs InvokeModel on foundation models for memory extraction. Wildcard required for model ID.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
